ds,yhat,yhat_lower,yhat_upper
2011-12-09,31586.288979452227,20908.634516794184,47443.14762729739
2011-12-10,7245.870638970598,4691.731971577128,11238.03240831094
2011-12-11,18959.29837074779,12222.280643213915,29124.458611429556
2011-12-12,30110.399903739803,19551.811847608034,46732.40252830152
2011-12-13,29987.673719506074,19280.49883302626,46047.26642442145
2011-12-14,26035.366715635722,16978.79791787806,40532.456054392955
2011-12-15,30462.048238230207,19253.932214371536,46941.497306813835
2011-12-16,20510.583372149817,12869.946323185102,32331.427547399817
2011-12-17,4648.508049826878,2934.140546492593,7218.0607512629
2011-12-18,12088.319560759599,7909.948665008747,18622.731492498206
2011-12-19,19188.558331281503,12414.363614507194,29547.614171893478
2011-12-20,19214.096326053055,12591.890794564044,29683.369383092187
2011-12-21,16874.318051008227,10985.456668707086,26531.962774810134
2011-12-22,20093.44848293369,12760.368926663421,30497.467199919687
2011-12-23,13848.70734856459,8600.93082821803,20694.093124950294
2011-12-24,3229.8721691240507,2036.3577978387507,4986.697952494695
2011-12-25,8691.886673951141,5655.457671239058,13391.20612594314
2011-12-26,14340.875852566083,9008.883068776642,21649.432587381452
2011-12-27,14981.940488730434,9923.579337773623,22508.914871334233
2011-12-28,13769.131777303925,8939.181001206778,21933.719695939693
2011-12-29,17196.611412813894,11183.9554443341,26624.811685871762
2011-12-30,12445.72826175929,8009.218005724043,19565.48923208941
2011-12-31,3048.4445092484893,1917.3199575939025,4742.37204476143
2012-01-01,8613.547224915452,5555.114645520375,13338.780160652983
2012-01-02,14896.14512341228,9561.056755455957,23325.305174962246
2012-01-03,16268.704801887001,10518.404707154084,25776.151178969598
2012-01-04,15576.66726295809,10295.307157105424,24205.869824480942
2012-01-05,20182.184192558645,13098.625232755992,32178.448017955245
2012-01-06,15076.960737371623,9780.605927913937,23415.075038295923
2012-01-07,3790.284357382949,2455.6177347654802,5951.17374289266
